Practice,Project Type,Phase,Platform,Tool Type,Tool Name,Link,,,,,,,
All,All,All,Web,Visualization,Mirar,https://spark.thorntontomasetti.com/docs/DOC-3568-mirar-project-outline,,,,,,,
Structures,Steel& Concrete,7,Tekla,Modeling,Extract Beam Rotations,https://spark.thorntontomasetti.com/docs/DOC-3633-extract-beam-rotations,,,,,,,
Structures,Steel& Concrete,7,Tekla,Modeling,Framing Connectivity Repair,https://spark.thorntontomasetti.com/docs/DOC-3634-framing-connectivity-repair,,,,,,,
Structures,Steel& Concrete,7,Tekla,Modeling,Export/Import User Defined Attributes,https://spark.thorntontomasetti.com/docs/DOC-3696-export-import-user-defined-attributes-uda,,,,,,,
Structures,Steel& Concrete,7,Tekla,Modeling,Section Mapper,https://spark.thorntontomasetti.com/docs/DOC-3701-section-mapper,,,,,,,
Structures,Steel& Concrete,7,Tekla,Modeling,Model Compare,https://spark.thorntontomasetti.com/docs/DOC-3704-model-compare,,,,,,,
Structures,Steel& Concrete,7,Tekla,Modeling,Delete From Drawing,https://spark.thorntontomasetti.com/docs/DOC-3703-delete-from-drawing,,,,,,,
Structures,Steel& Concrete,7,Tekla,Modeling,Swap Handles Identifier,https://spark.thorntontomasetti.com/docs/DOC-3680-swap-handles-identifier,,,,,,,
Structures,Steel& Concrete,7,Tekla,Modeling,Locate Duplicate Elements,https://spark.thorntontomasetti.com/docs/DOC-3691-locate-duplicate-elements,,,,,,,
Structures,Steel& Concrete,7,Tekla,Modeling,Column Splitter,https://spark.thorntontomasetti.com/docs/DOC-3695-column-splitter,,,,,,,
Structures,Steel,7,Tekla,Modeling,Auto Connection,https://spark.thorntontomasetti.com/docs/DOC-3736-auto-connection-tools,,,,,,,
All,All,All,Konstru,Interoperability,Model Translation (one-way),https://konstru.zendesk.com/hc/en-us/articles/115001361011-Revit,,,,,,,
All,All,All,Konstru,Interoperability,Model Translation (roundtrip),https://konstru.zendesk.com/hc/en-us/articles/115001361011-Revit,,,,,,,
All,All,All,Konstru,Interoperability,Model Merging,https://konstru.zendesk.com/hc/en-us/articles/115010448827-Merge-Models,,,,,,,
All,All,2-7,Konstru,Interoperability,Model Repair,https://konstru.zendesk.com/hc/en-us/sections/115000749371-Model-Repair,,,,,,,
All,All,2-7,Konstru,Interoperability,Model Comparisons,https://konstru.zendesk.com/hc/en-us/articles/115010483027-Comparison,,,,,,,
All,All,2-7,Konstru,Interoperability,Sharing Models,https://konstru.zendesk.com/hc/en-us/articles/115010560327-Permissions,,,,,,,
All,All,5-7,Konstru,Interoperability,Change Reports/Version Control,https://konstru.zendesk.com/hc/en-us/articles/115010616448-Change-Reports,,,,,,,
Structures,All,4-5,CSI Toolbox,Modeling,Load Combination Manager,https://spark.thorntontomasetti.com/docs/DOC-4096-load-combination-manager,,,,,,,
Structures,All,4-5,CSI Toolbox,Modeling,Group Assign,https://spark.thorntontomasetti.com/docs/DOC-4097-group-assign,,,,,,,
Structures,All,4-5,CSI Toolbox,Modeling,Select Elements,https://spark.thorntontomasetti.com/docs/DOC-4098-select-elements,,,,,,,
Structures,All,4-5,CSI Toolbox,Modeling,Joint Load Assign,https://spark.thorntontomasetti.com/docs/DOC-4624-joint-loads-assign,,,,,,,
Structures,All,4-5,CSI Toolbox,Modeling,Generalize Displacement Assign,https://spark.thorntontomasetti.com/docs/DOC-4622-generalized-displacement-assign,,,,,,,
Structures,All,4-5,CSI Toolbox,Modeling,Group By Angle,https://spark.thorntontomasetti.com/docs/DOC-8623-group-by-angle,,,,,,,
Structures,All,4-5,CSI Toolbox,Modeling,Edit,https://spark.thorntontomasetti.com/docs/DOC-4099-edit,,,,,,,
Structures,All,2-5,CSI Toolbox,Verification&Visualization,SRep Analysis and Repair,https://spark.thorntontomasetti.com/docs/DOC-6446-srep-tools-for-csi-alpha-release,,,,,,,
Structures,All,4-5,CSI Toolbox,Verification ,Model Check,https://spark.thorntontomasetti.com/docs/DOC-4129-model-check,,,,,,,
Structures,Steel,2-5,CSI Toolbox,Analysis&Design,Disproportionate Collapse,https://spark.thorntontomasetti.com/docs/DOC-4119-disproportionate-collapse-tool,,,,,,,
